config                  context_anchor  context_top_ra  context_win_gi  novel_ngram_sh  pure_corpus_re  verbatim_run_r  reply_ge90pct_      distinct_1      distinct_2  repeated_bigra  connective_rep  winner_multiju  empty_result_r  avg_length_tok  length_mirror_  context_token_  avg_generation  slot_mutation_  verbatim_exten
baseline_registry               0.5483          0.5683          0.9320          0.6034          0.0091          0.3583          0.0033          0.5008          0.9014          0.0005          0.6067          0.0000          0.0000         10.3933          5.4967          0.2249        171.2367          0.0000          0.0683
baseline_live                   0.5583          0.5967          0.9190          0.6284          0.0000          0.3693          0.0000          0.4996          0.9020          0.0003          0.6433          0.0000          0.0000         10.6567          4.0367          0.2456        229.7533          0.0000          0.2083
slot_mutation=0.15              0.6067          0.6167          0.8694          0.6384          0.0000          0.3571          0.0000          0.4801          0.8935          0.0003          0.6800          0.0000          0.0000         11.2333          5.3433          0.2532        199.3967          0.0983          0.1533
slot_mutation=0.3               0.5633          0.5717          0.7747          0.6567          0.0000          0.3469          0.0000          0.4861          0.8993          0.0015          0.6333          0.0000          0.0000         11.0567          3.6133          0.2335        184.9000          0.1950          0.1550
slot_mutation=0.6               0.5567          0.5500          0.7700          0.6673          0.0000          0.3265          0.0000          0.4803          0.9035          0.0005          0.6600          0.0000          0.0000         10.9933          4.0700          0.2370        166.4167          0.2883          0.1200
intonation=0.5                  0.5683          0.6033          0.9115          0.6296          0.0000          0.3809          0.0000          0.4988          0.9103          0.0009          0.6483          0.0000          0.0000         10.6867          3.9733          0.2520        214.1567          0.0000          0.1967
intonation=1.0                  0.5817          0.6083          0.9180          0.6414          0.0000          0.3727          0.0000          0.4897          0.9059          0.0004          0.6417          0.0000          0.0000         10.3900          3.7033          0.2461        226.3533          0.0000          0.1983
jump_boost=1.0                  0.5783          0.5917          0.9358          0.6252          0.0000          0.3640          0.0000          0.4937          0.9050          0.0002          0.6517          0.0000          0.0000         10.9900          6.2800          0.2428        252.4867          0.0000          0.1950
jump_boost=4.0                  0.5867          0.6083          0.9317          0.6268          0.0000          0.3741          0.0000          0.4897          0.8974          0.0003          0.6833          0.0000          0.0000         10.8600          3.6733          0.2421        242.3933          0.0000          0.1800
ext_share=0                     0.6350          0.6433          0.9664          0.6313          0.0017          0.3795          0.0017          0.4967          0.9083          0.0000          0.6217          0.0000          0.0000         10.5933          6.3400          0.2486        181.4567          0.0000          0.0217
ext_share=0.6                   0.4833          0.5200          0.8909          0.6263          0.0000          0.3683          0.0000          0.4768          0.8920          0.0011          0.6667          0.0000          0.0000         11.7200          4.4400          0.2260        257.8767          0.0000          0.3083
ext_share=1.0                   0.5483          0.5867          0.9003          0.6210          0.0000          0.3713          0.0000          0.4814          0.8962          0.0013          0.6733          0.0000          0.0000         10.8967          3.3500          0.2309        212.5100          0.0000          0.2250
order_mix=0                     0.5067          0.5383          0.9152          0.6048          0.0000          0.3677          0.0000          0.4761          0.8962          0.0006          0.6983          0.0000          0.0000         11.4900          5.6033          0.2285        239.7567          0.0000          0.2633
order_mix=0.25                  0.5617          0.5817          0.9321          0.6251          0.0000          0.3782          0.0000          0.4873          0.8992          0.0003          0.6717          0.0000          0.0000         10.8100          4.8233          0.2501        224.9967          0.0000          0.2100
order_mix=0.75                  0.5867          0.6250          0.9127          0.6517          0.0000          0.3613          0.0000          0.4980          0.9010          0.0002          0.6483          0.0000          0.0000         10.7833          3.3333          0.2389        213.8200          0.0000          0.1550
splice=0                        0.3233          0.3317          0.9344          0.5977          0.0000          0.3894          0.0000          0.4845          0.8953          0.0003          0.5150          0.0000          0.0000         10.7233          3.1733          0.1758        206.6200          0.0000          0.3250
